organization,website,social,event_description,event_name,inperson_n_h,location_name,street_address,max_capacity,wheelchair_access,public_y_n,register_y_n,free_y_n,cost,date,time,need_to_know,description_add,postal_code,city,email,registration_link,event_contact,photo,email_1,photo_link,event_link,reg_link,full_address,geocodio_address,lat,long,,,
South Shore Hospice Palliative Care Society,www.southshorehospice.ca,https://www.facebook.com/events/863245242174349/?active_tab=discussion,"There is something so calming and therapeutic about art and the act of creating. Join local artist Alison Mitchell and learn how to transfer the image of a flower or bouquet onto a small 8"" x 10"" canvas using acrylics. 
",Art as a Part of Healing,In-person,SSHPCS Office,"821 King Street, Unit 7",6,Yes,Those who have experienced significant loss. ,They should register,Free,,September 27th,1:00pm-3:00pm,"No experience necessary, all material will provided. ",,B4V 1B7,Bridgewater,,https://forms.gle/DEsphPqpmf2yM5EY7,"Mellissa Riley, 902-527-0000, office@southshorehospice.ca",https://drive.google.com/open?id=16qaWMrbsB1NuFpexrtbPJPyjkySa1B3J,,https://drive.google.com/uc?export=view&id=B1NuFpexrtbPJPyjkySa1B3J,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9vdfpv,https://docs.google.com/forms/d/e/1FAIpQLSdoKYZ6TRK2mlOajJLx2nnQacI3oAedNAt52u-3LySVLBSHIg/viewform,821 King Street Unit 7 Canada,"King, ON L7B",44.01121,-79.601058,0.5,place,CanVec+ by Natural Resources Canada
South Shore Hospice Palliative Care Society,www.southshorehospice.ca,https://www.facebook.com/SouthShoreHospicePalliativeCareSociety/,Our cooking for care program provides those who have experienced significant loss with a comfortable place to come and prepare and share a meal with other individuals who have experienced similar loss.,Cooking For Care,In-person,Park View Education Center,1485 King Street,12,Not sure,Those who have experienced significant loss,They should register,Free,,September 27th,4:30pm - 6:30pm,"Event is free, no need to bring anything but an apron (if desired) and an appetite. ",,B4V 1B7,Bridgewater,, https://forms.gle/DdpJJMvDXwF55T8Y8,"Mellissa Riley, 902-527-0000, office@southshorehospice.ca",https://drive.google.com/open?id=1g1c3r-GKTs5g6-aR7sIAudttcGSVaJgo,,https://drive.google.com/uc?export=view&id=Ts5g6-aR7sIAudttcGSVaJgo,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9vowcr,https://docs.google.com/forms/d/e/1FAIpQLSf_msM72xjUCrcoi0k3FdSf31iQs9N6VSWP1cx7jY6YODrQXg/viewform,1485 King Street Bridgewater Canada,"1485 King St, Bridgewater, NS B4V",44.395048,-64.547123,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
South Shore Hospice Palliative Care Society,www.southshorehospice.ca,https://www.facebook.com/SouthShoreHospicePalliativeCareSociety/,"Please join us and other like-minded individuals to share your feelings and explore your 
questions related to death and dying. Discussion will be facilitated but casual, aimed at  
increasing awareness and easing fears about end-of-life. Tea, coffee and treats will be 
available, and there is no cost to attend.",Death Cafe,In-person,Zion Lutheran Church,65 Fox Street,20,Not sure,For the public,They should register,Free,,September 28th,6:30-8:30pm,"Event is free of charge, with snacks and refreshments provided.",,B0J 2C0,Lunenburg,,https://forms.gle/8rZwd5qr5wx5wa6u6,"Mellissa Riley, 902-527-0000, office@southshorehospice.ca",https://drive.google.com/open?id=1QlZXuuUjoiOeyz2WM4dDD_91pb0mQu9-,,https://drive.google.com/uc?export=view&id=oiOeyz2WM4dDD_91pb0mQu9-,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9w4r4x,https://docs.google.com/forms/d/e/1FAIpQLSePFsNQiMbQtffbLvg4h3y1QJSuD09wPPcIH08k8i78dRfHBw/viewform,65 Fox Street Lunenburg Canada,"176 St, St Isidore, ON K0C",45.384925,-74.904986,0.69,nearest_rooftop_match,Prescott Russell
South Shore Hospice Palliative Care Society,www.southshorehospice.ca,https://www.facebook.com/SouthShoreHospicePalliativeCareSociety/,"Please join the South Shore Hospice Palliative Care Society and facilitator Irene Hirtle, for a special Grief Week card making session. There is no experience necessary, and all materials will be supplied. Cost of the event is $15/person, and participants will each make 3 cards with envelopes. Cards options and styles will have a special grief week theme. ",Grief Week Card Making,In-person,Darius Wile Road,Darius Wile Road,8,No,For the public,They should register,Paid,$15,September 29th,1:30pm -3:30pm,"Space is limited, registration is required",,B4V 1B7,Wileville,,https://forms.gle/PZdP3CddqfjKWJda8,"Mellissa Riley, office@southshorehospice.ca, 902-527-0000",https://drive.google.com/open?id=1iPAji9O4MM0cHHVhMzLrK3aVvdcZ-hYn,,https://drive.google.com/uc?export=view&id=MM0cHHVhMzLrK3aVvdcZ-hYn,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9wftma,https://docs.google.com/forms/d/e/1FAIpQLSc9xwVDRs-b5PYQqKeAcKH9zoPU3IgirR4PCeBsV4TgNv-sDA/viewform,Darius Wile Road Wileville Canada,"Darius Wile Rd, Wileville, NS B4V",44.372583,-64.552901,1,street_center,CanVec+ by Natural Resources Canada
Halifax Quakers,https://halifax.quaker.ca/,https://www.facebook.com/HalifaxQuakers/,"As a part of Good Grief, Nova Scotia!, you are invited to share in a Quaker Meeting with grieving as a topic. The Meeting will begin with a explanation of Quaker Worship. We will read some contemplations on grieving from Quaker perspectives and then we will spend some time sharing silence and reflection together. ",Quaker Meeting with grieving as a topic,In-person,"Dalhousie Student Union Building, Room 224",6136 University Avenue,25,Yes,For the public,They can just show up,Free,,26,1:30-2:30PM ADT,This event is open to Quakers and the general public. Everyone is welcome.,,B3H 4R2,Halifax,,,Kathryn Belzer - kathrynbelzer@icloud.com,https://drive.google.com/open?id=1g3TEMwXL73mJjRU0Rl_l9IfEpHoFQe2e,,https://drive.google.com/uc?export=view&id=73mJjRU0Rl_l9IfEpHoFQe2e,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmaqyo1g,,6136 University Avenue Halifax Canada,"6136 University Ave, Halifax, NS B3H",44.636676,-63.589146,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Death Matters,www.deathmatters.ca,,Guided dying visualization followed by exercise and discussion to facilitate creating Transition and Post-mortem Instructions.,Preparing to Die,"Virtual (if it's virtual, you can skip the next four questions)",,,,,For the public,They can just show up,Free,,September 26,2-3:30 pm Atlantic,Some understanding of the concept of mortality might be helpful.,Looking forward to this journey together.,,,,,"Deborah Luscomb, deathmatter.ca@gmail.com, 902.403.7590",https://drive.google.com/open?id=1A756jQU7GTMr6iQ4vcn2PjBgPW4XLe7c,,https://drive.google.com/uc?export=view&id=GTMr6iQ4vcn2PjBgPW4XLe7c,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmarg903,,,,43.99588076,-62.36587459,,,
The Durham Laporte Legacy Project,,,Spin ride ,Ride griefy with me ,In-person,Rival spin studio,3670 Kempt rd,38,No,For the public,They should register,Paid,20,September 24,11:45-12:30,"I’m teaming up with Rstudios to put together a fundraiser ride for the Durham Laporte Legacy project. 

After my brother, Durham, passed  away I had a hard time dealing with a lot both mentally and physically. Rstudios,  especially Rival became a very important part of my grief and healing process. This community is filled with so many amazing individuals so I would like to invite you to come and Ride Griefy with me. Whether you are on a grief journey of your own or just want to try spin I promise it will be an amazing time! ",,,Halifax,,Email durhamlaportelegacyproject@gmail.com,Jayde Laporte email: durhamlaportelegacyproject@gmail.com,https://drive.google.com/open?id=1fl3dV5ccRAypNiJGU4MIFVliW62164jW,,https://drive.google.com/uc?export=view&id=RAypNiJGU4MIFVliW62164jW,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmarw8xu,mailto: durhamlaportelegacyproject@gmail.com,3670 Kempt rd Halifax Canada,"3670 Kempt Rd, Halifax, NS B3K",44.66243,-63.618625,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Amy Mackenzie Counselling and Art Therapy Services,https://www.amymackenziecounselling.com/,https://www.facebook.com/profile.php?id=100063663630430     Instagram: @amymackenziearttherapy,"I would like to host an online art therapy event.  It would involve a presentation on the topic of art therapy and grief, with some experiential art activities to try out from home.   Related topics such as learning about and trying out some expressive tools such as colour, line, shape and symbol to depict thoughts and emotions visually.",Drawing grief in all its diverse forms: an art therapy workshop,"Virtual (if it's virtual, you can skip the next four questions)",,,,,For the public,They should register,Paid,$15.00,"Monday, September 25","Start: 6pm, End: 730pm","There will be some experiential art exercises to do at home, so it would be great if participants had some basic art materials on hand such as markers, pencil crayons, oil pastels, chalk pastels or paints.  One or more of these materials is great.  Paints are fine but can be a bit more 'high maintenance' so one or more of the first 4 materials listed recommended.",,,,,They can email me at amymackenziecounselling@gmail.com,Amy Mackenzie at amymackenziecounselling@gmail.com,https://drive.google.com/open?id=1ThW_A8FS2iDn2Xr3hQQRL5X9TD4Qs-81,,https://drive.google.com/uc?export=view&id=2iDn2Xr3hQQRL5X9TD4Qs-81,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmhsk140,mailto: amymackenziecounselling@gmail.com,,,43.99588076,-62.36587459,,,
Strait Richmond Palliative Care Society,www.srpalliativecaresociety.com,Facebook: Strait Richmond Palliative Care Society,Afternoon tea to share information and reflections about grief literacy and experiences following a loss,COMFORT TEA......Come For Tea,In-person,United Church Hall,9915 Grenville St,120,Yes,For the public,They can just show up,Free,,"Wednesday, September 27, 2023",1:30pm - 4:00 pm,"Join us for tea and a sweet treat. Bring a friend, photo, memento, or experience to share or just be in the company of others who understand.",We were inspired by your presentation in Antigonish. First time trying an event like this. Realize the photo alignment. Could email a pdf of poster if helpful.,B0E 3B0,St Peters B0E 3B0,,,Stephen Anthony: santhonyslp@hotmail.com,https://drive.google.com/open?id=14e7m3mvLOb0feEyql6w3PSn_9sopil38,,https://drive.google.com/uc?export=view&id=Ob0feEyql6w3PSn_9sopil38,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmig08v6,,9915 Grenville St St Peters B0E 3B0 Canada,"9915 Grenville St, River Bourgeois, NS B0E",45.655815,-60.879769,0.7,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
"Good Grief, Nova Scotia",https://www.mabelmurplesworld.ca/,,"Please join literary artist and joy dancer Sheree Fitch for a day of healing exploration in River John, Nova Scotia.
Experience the power of labyrinth walking and meditation at Mabel Murple’s Book Shoppe and Dreamery.
Group Tour of Dee’s Memorial Labyrinth 
11:00 am - 1:00pm
Learn about the tradition and the healing benefits of the labyrinth in a group setting. Visit the orchard, picksome apples, and take time to enjoy the peacefulness as you navigate the space in community
Individual Time in the Labyrinth 
2:00pm - 4:00pm
Please bring journals, bug spray, and outdoor footwear. 
Weather permitting.","Release, Receive, Return, Rejoice! Labyrinth Walk",In-person,abel Murple’s Book Shoppe and Dreamery,286 Allen Rd,25,No,For the public,They should register,Free,,"September 23rd, 2023",11am-1pm; 2pm-4pm,"Please bring journals, bug spray, and outdoor footwear.",,B0K 1N0,River John,,https://www.zeffy.com/en-CA/ticketing/8d40886b-5ced-4c6d-93af-9a0a30cbcd0c,Lauren Delaney at lauren.delaney@dal.ca,https://drive.google.com/open?id=1yGDZnQIV6iUBPD8Cf-L2TiaI9zjKWsvV,,https://drive.google.com/uc?export=view&id=6iUBPD8Cf-L2TiaI9zjKWsvV,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmpiogab,https://www.zeffy.com/en-CA/ticketing/8d40886b-5ced-4c6d-93af-9a0a30cbcd0c,286 Allen Rd River John Canada,"286 Allen Rd, River John, NS B0K",45.742893,-63.024668,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Renison University College,https://storiesfromtheskin.com/,susancadell (Instagram),"What are memorial tattoos? What are continuing bonds? If every tattoo tells a story, what can we learn from the narratives connected to memorial tattoos? Come see some photographs of tattoos with quotes from a study of how people memorialize someone with a tattoo by inking the bond to the person.
",Inking The Bond: Memorial Tattoos Photos,In-person,Halifax Central Library First Floor,5440 Spring Garden Road  ,TBD,Yes,For the public,They can just show up,Free,,September 23 to October 7,10 am Atlantic,nothing,Feel free to grab an image from storiesfromtheskin if that helps,B3J 1E9,Halifax,,,scadell@gmail.com,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmpjq2b7,,5440 Spring Garden Road   Halifax Canada,"5440 Spring Garden Rd, Halifax, NS B3J",44.64282,-63.575218,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
,https://uwaterloo.ca/school-of-social-work/profiles/susan-cadell,susancadell (instagram),Wind phones are unconnected telephones that provide the opportunity to speak those who have died. Come listen to a story about the original wind phone in Japan and participate in a facilitated discussion about wind phones. Susan Cadell is a social work professor with experience in grief and will be reading and facilitating. Who would you talk to on a wind phone? ,Wind Phones: A Story Time and Facilitated Discussion for Adults,In-person,Halifax Central Library Room 301,5440 Spring Garden Rd,20,Yes,For the public,They can just show up,Free,,September 23,1030-1130 ADT,Openness and curiosity,,B3J 1E9,Halifax,,,scadell@gmail.com,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmpjbybd,,5440 Spring Garden Rd Halifax Canada,"5440 Spring Garden Rd, Halifax, NS B3J",44.64282,-63.575218,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Hospice Halifax,www.hospicehalifax.ca,,This is an interactive installation asking reflective questions on death.,The Departure Lounge: What If Your Gate Was Called?,In-person,Halifax Central Library,5440 Spring Garden Road,,Yes,For the public,They can just show up,Free,,September 21-October 6,Library Hours,This is an informative display,,B3J 1E9,Halifax,,,email,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lmqrzvii,,5440 Spring Garden Road Halifax Canada,"5440 Spring Garden Rd, Halifax, NS B3J",44.64282,-63.575218,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
